Year,ISSN,Abbreviation,Publisher,URL
"2011","2090-5572","ISRN Appl. Math.","International Scholarly Research Network. ISRN","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20905572"
"2011","2090-6307","ISRN Geom.","International Scholarly Research Network. ISRN","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20906307"
"2011","2090-4657","ISRN Math. Anal.","Hindawi Publishing Corporation","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20904657"
"2011","2247-9880","Int. J. Geom.","International Journal of Geometry","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22479880"
"2011","2230-9888","Int. J. Math. Sci. Appl.","Mind Reader Publications","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22309888"
"2011","2231-5330","Int. J. Math. Sci. Comput.","Vel-Tech Dr. RR & Dr. SR Technical University","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22315330"
"2011","2146-0957","Int. J. Optim. Control. Theor. Appl. IJOCTA","International Journal of Optimization and Control. Theories & Applications","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21460957"
"2011","2152-5080","Int. J. Uncertain. Quantif.","Begell House, Inc.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21525080"
"2011","2217-6764","J. Algebra Comput. Appl.","Ilirias Publications","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22176764"
"2011","2156-907X","J. Appl. Anal. Comput.","Wilmington Scientific Publisher, LLC","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2156907X"
"2011","2222-5498","J. Contemp. Appl. Math.","Journal of Contemporary Applied Mathematics","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22225498"
"2011","2090-584X","J. Fract. Calc. Appl.","Fractional Calculus and Applications Group (FCAG)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2090584X"
"2011","2193-4169","J. Fuzzy Set Valued Anal.","International Scientific Publications and Consulting Services. ISPACS","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21934169"
"2011","2159-8118","J. Humanist. Math.","Claremont Center for the Mathematical Sciences","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21598118"
"2011","1029-242X","J. Inequal. Appl.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=1029242X"
"2011","2303-4866","J. Int. Math. Virtual Inst.","International Mathematical Virtual Institute IMVI. Scientific Society of Mathematicians Banja Luka","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23034866"
"2011","1927-5307","J. Math. Comput. Sci.","Science & Knowledge Publishing Corporation, Limited","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19275307"
"2011","2190-5983","J. Math. Ind.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21905983"
"2011","2190-8567","J. Math. Neurosci.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21908567"
"2011","2161-3680","J. Nonlinear Evol. Equ. Appl.","Journal of Nonlinear Evolution Equations and Applications","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21613680"
"2011","1664-039X","J. Spectr. Theory","European Mathematical Society (EMS)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=1664039X"
"2011","2156-8472","Math. Control Relat. Fields","American Institute of Mathematical Sciences (AIMS)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21568472"
"2011","1314-3344","Math. AEterna","Hilaris, LTD","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=13143344"
"2011","2220-5438","Mosc. J. Comb. Number Theory","Mathematical Sciences Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22205438"
"2011","2155-3289","Numer. Algebra Control Optim.","American Institute of Mathematical Sciences (AIMS)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21553289"
"2011","2161-7635","Open J. Discrete Math.","Scientific Research Publishing, Inc. USA","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21617635"
"2011","2161-718X","Open J. Stat.","Scientific Research Publishing, Inc. USA","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2161718X"
"2011","2247-689X","Rom. J. Math. Comput. Sci.","Technical University of Civil Engineering","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2247689X"
"2011","1575-9822","SeMA J.","Sociedad Espanola de Matematica Aplicada","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=15759822"
"2011","1946-5238","Stoch. Syst.","INFORMS (Institute for Operations Research and the Management Sciences)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19465238"
"2011","2146-1147","TWMS J. Appl. Eng. Math.","Isik University","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21461147"
"2011","2067-2764","Theory Appl. Math. Comput. Sci.","``Aurel Vlaicu'' University of Arad","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20672764"
"2010","2090-3359","Adv. Decis. Sci.","Asia University","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20903359"
"2010","1867-1152","Adv. Pure Appl. Math.","De Gruyter","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18671152"
"2010","2305-3836","Afr. Math. Ann. AFMA","Africa Mathematics Annals","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23053836"
"2010","2008-8752","Ann. Funct. Anal.","Tusi Mathematical Research Group (TMRG)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20088752"
"2010","2152-7385","Appl. Math. (Irvine)","Scientific Research Publishing, Inc. USA","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21527385"
"2010","0976-1586","Appl. Math. Comput. Sci.","Mili Publications","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=09761586"
"2010","0976-1594","Biostat. Bioinform. Biomath.","Mili Publications","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=09761594"
"2010","0718-7912","Chil. J. Stat.","Sociedad Chilena de Estadi","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=07187912"
"2010","2038-0909","Commun. Appl. Ind. Math.","Societa Italia di Matematica Applicata e Industriale. SIMAI","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20380909"
"2010","0976-5905","Commun. Math. Appl.","RGN Publications","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=09765905"
"2010","1848-0225","Croat. Oper. Res. Rev. CRORR","Croatian Operational Research Society","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18480225"
"2010","2077-9879","Eurasian Math. J.","L N. Gumilyov Eurasian National University","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20779879"
"2010","1869-2672","GEM Int. J. Geomath.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18692672"
"2010","2073-4336","Games","MDPI (Molecular Diversity Preservation International)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20734336"
"2010","2219-7184","Gen. Math. Notes","International Center for Scientific Research and Studies (ICSRS)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22197184"
"2010","1755-2176","Int. J. Metaheuristics","Inderscience Enterprises Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=17552176"
"2010","1923-2942","Int. J. Numer. Anal. Model. Ser. B","Institute for Scientific Computing and Information","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19232942"
"2010","2090-3332","Int. J. Stoch. Anal.","Hindawi","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20903332"
"2010","2158-611X","J. Abstr. Differ. Equ. Appl.","Mathematical Research Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2158611X"
"2010","2090-8288","J. Adv. Stud. Topol.","Modern Science Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20908288"
"2010","1309-3452","J. Algebr. Stat.","Journal of Algebraic Statistics","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=13093452"
"2010","2156-3527","J. Comb.","International Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21563527"
"2010","1920-180X","J. Comput. Geom.","Carleton University, Computational Geometry Lab","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=1920180X"
"2010","1877-7503","J. Comput. Sci.","Elsevier Science B.V.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18777503"
"2010","2090-0147","J. Electr. Comput. Eng.","Hindawi","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20900147"
"2010","2217-4303","J. Inequal. Spec. Funct.","Ilirias Publications","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22174303"
"2010","2217-3412","J. Math. Anal.","Ilirias Publications","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22173412"
"2010","2158-933X","J. Math. Sci. Comput. Appl.","Atlas Publishing LP","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2158933X"
"2010","2090-4770","J. Mod. Methods Numer. Math.","Modern Science Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20904770"
"2010","1906-9685","J. Nonlinear Anal. Optim.","Naresuan University","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19069685"
"2010","1662-9981","J. Pseudo-Differ. Oper. Appl.","Birkhauser Verlag","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=16629981"
"2010","1949-2006","J. Singul.","Worldwide Center of Mathematics LLC","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19492006"
"2010","2220-2617","Mat. Vopr. Kriptografii","Rossiiskaya Akademiya Nauk, Matematicheskii Institut im. V. A. Steklova (MIAN)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22202617"
"2010","0034-5318","Publ. Res. Inst. Math. Sci.","European Mathematical Society (EMS)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=00345318"
"2010","1759-7323","Quant. Econ.","Econometric Society","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=17597323"
"2010","1663-487X","Quantum Topol.","European Mathematical Society (EMS)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=1663487X"
"2010","1945-497X","SIAM J. Financial Math.","Society for Industrial and Applied Mathematics (SIAM)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=1945497X"
"2010","2076-2585","TWMS J. Pure Appl. Math.","Turkic World Mathematical Society","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20762585"
"2010","2079-6641","Vestn. KRAUNTS. Fiz.-Mat. Nauki","Rossiiskaya Akademii Nauk, Dalnevostochnogo Otdeleniya, Institut Kosmofizicheskikh Issledovanii i Rasprostraneniya Radiovoln","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20796641"
"2009","1942-3454","ACM Trans. Comput. Theory","Association for Computing Machinery (ACM)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19423454"
"2009","1844-6094","Acta Univ. Sapientiae Math.","Acta Universitatis Sapientiae, Mathematica","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18446094"
"2009","1793-5369","Adv. Adapt. Data Anal.","World Scientific Publishing Co.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=17935369"
"2009","2070-0733","Adv. Appl. Math. Mech.","Global Science Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20700733"
"2009","0974-6803","Adv. Appl. Math. Sci.","Mili Publications","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=09746803"
"2009","0974-6811","Adv. Appl. Stat. Sci.","Mili Publications","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=09746811"
"2009","1687-9120","Adv. Math. Phys.","Hindawi","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=16879120"
"2009","1687-9562","Adv. Numer. Anal.","Hindawi","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=16879562"
"2009","1687-9147","Adv. Oper. Res.","Hindawi","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=16879147"
"2009","1319-8025","Arab. J. Sci. Eng. ASJE. Math.","King Fahd University of Petroleum and Minerals","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=13198025"
"2009","1821-1291","Bull. Math. Anal. Appl.","Bulletin of Mathematical Analysis and Applications","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18211291"
"2009","2075-9827","Carpathian Math. Publ.","Vasyl Stefanyk Precarpathian National University","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20759827"
"2009","1906-554X","Chamchuri J. Math.","Chulalongkorn University, Department of Mathematics and Computer Science","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=1906554X"
"2009","1793-7442","Confluentes Math.","World Scientific Publishing Co. Pte. Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=17937442"
"2009","1936-2447","Cryptogr. Commun.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19362447"
"2009","1847-120X","Differ. Equ. Appl.","Publishing House ELEMENT","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=1847120X"
"2009","1793-8309","Discrete Math. Algorithms Appl.","World Scientific Publishing Co. Pte. Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=17938309"
"2009","1616-8658","Fuzzy Inf. Eng.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=16168658"
"2009","1939-5825","Georgian Int. J. Sci. Technol.","Nova Science Publishers, Inc.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19395825"
"2009","1867-1144","Groups Complex. Cryptol.","De Gruyter","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18671144"
"2009","1867-1144","Groups Complex. Cryptol.","Heldermann Verlag","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18671144"
"2009","0975-0770","Int. J. Adv. Eng. Sci. Appl. Math.","Springer India Private Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=09750770"
"2009","0974-4665","Int. J. Appl. Math. Comput.","Darbose","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=09744665"
"2009","1687-9163","Int. J. Comb.","Hindawi","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=16879163"
"2009","1687-9643","Int. J. Differ. Equ.","Hindawi","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=16879643"
"2009","0975-2919","Int. J. Funct. Anal. Oper. Theory Appl.","Pushpa Publishing House","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=09752919"
"2009","1753-7703","Int. J. Inf. Coding Theory","Inderscience Enterprises Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=17537703"
"2009","1757-5850","Int. J. Math. Oper. Res.","Inderscience Enterprises Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=17575850"
"2009","0975-0452","Int. J. Numer. Methods Appl.","Pushpa Publishing House","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=09750452"
"2009","2070-5565","Int. J. Optim. Theory Methods Appl.","Global Information Publisher (H.K.) Co., Limited","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20705565"
"2009","2076-734X","Int. J. Res. Rev. Appl. Sci.","ARPA Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2076734X"
"2009","1942-9649","J. Adv. Res. Appl. Math.","Institute of Advanced Scientific Research. IASR","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19429649"
"2009","1943-0248","J. Adv. Res. Differ. Equ.","Institute of Advanced Scientific Research. IASR","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19430248"
"2009","1943-023X","J. Adv. Res. Dyn. Control Syst.","Institute of Advanced Scientific Research. IASR","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=1943023X"
"2009","1943-2380","J. Adv. Res. Pure Math.","Institute of Advanced Scientific Research. IASR","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19432380"
"2009","1943-2364","J. Adv. Res. Sci. Comput.","Institute of Advanced Scientific Research. IASR","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19432364"
"2009","1943-2399","J. Adv. Res. Stat. Probab.","Institute of Advanced Scientific Research. IASR","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19432399"
"2009","1942-5600","J. Comb. Number Theory","Nova Science Publishers, Inc.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19425600"
"2009","1939-0807","J. Commut. Algebra","Rocky Mountain Mathematics Consortium","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19390807"
"2009","1757-482X","J. Comput. Multiph. Flows","Sage Publications","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=1757482X"
"2009","1941-4889","J. Geom. Mech.","American Institute of Mathematical Sciences (AIMS)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19414889"
"2009","0974-875X","J. Inform. Math. Sci.","RGN Publications","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=0974875X"
"2009","1759-9008","J. Log. Anal.","Journal of Logic and Analysis","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=17599008"
"2009","1884-4774","J. Math-for-Ind.","Kyushu University, Faculty of Mathematics","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18844774"
"2009","1916-9795","J. Math. Res.","Canadian Center of Science and Education","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19169795"
"2009","1756-9737","J. Multiscale Model.","World Scientific Publishing Co.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=17569737"
"2009","2151-2302","J. Numer. Math. Stoch.","Euclidean Press, LLC","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21512302"
"2009","1687-952X","J. Probab. Stat.","Hindawi","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=1687952X"
"2009","0974-9381","J. Pure Appl. Math. Adv. Appl.","Scientific Advances Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=09749381"
"2009","1948-7916","J. Softw. Algebra Geom.","Journal of Software for Algebra and Geometry","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19487916"
"2009","1941-1928","J. Time Ser. Econom.","Berkeley Electronic Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19411928"
"2009","1793-5253","J. Topol. Anal.","World Scientific Publishing Co. Pte. Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=17935253"
"2009","1883-0609","JSIAM Lett.","Japan Society for Industrial and Applied Mathematics","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18830609"
"2009","1889-3066","Jaen J. Approx.","Universidad de Jaen, Departamento de Matematicas","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18893066"
"2009","2074-9872","Mat. Teor. Igr Prilozh.","Rossiiskoi Akademii Nauk, Karel'skogo Nauchnogo Tsentra, Institut Prikladnykh Matematicheskikh Issledovanii","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20749872"
"2009","2070-0482","Math. Models Comput. Simul.","MAIK Nauka/Interperiodica Publishing","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20700482"
"2009","1867-2949","Math. Program. Comput.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18672949"
"2009","1876-3898","Open Numer. Methods J.","Bentham Science Publishers, Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18763898"
"2009","1876-5270","Open Stat. Prob. J.","Bentham Science Publishers, Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18765270"
"2009","2077-8708","Probl. Fiz. Mat. Tekh.","Gomelskii Gosudarstvennyi Universititet imeni Frantsiska Skoriny","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20778708"
"2009","1948-4690","Stat. Commun. Infec. Dis.","Berkeley Electronic Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19484690"
"2009","2073-8994","Symmetry","MDPI (Molecular Diversity Preservation International)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20738994"
"2009","2067-239X","Transylv. J. Math. Mech.","Edyro Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2067239X"
"2009","2304-0122","Ufa Math. J.","Russian Academy of Sciences, Institute of Mathematics with Computer Center","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23040122"
"2009","2070-0466","p-Adic Numbers Ultrametric Anal. Appl.","MAIK Nauka/Interperiodica Publishing","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20700466"
"2008","0974-1658","Adv. Appl. Discrete Math.","Pushpa Publishing House","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=09741658"
"2008","1864-8258","Adv. Calc. Var.","De Gruyter","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18648258"
"2008","0974-3243","Adv. Differ. Equ. Control Process.","Pushpa Publishing House","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=09743243"
"2008","1687-7101","Adv. Fuzzy Syst.","Hindawi","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=16877101"
"2008","1999-4893","Algorithms (Basel)","MDPI (Molecular Diversity Preservation International)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19994893"
"2008","2157-5045","Anal. PDE","Mathematical Sciences Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21575045"
"2008","1829-1163","Armen. J. Math.","National Academy of Sciences of Armenia","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18291163"
"2008","1855-3966","Ars Math. Contemp.","Drustvo Matematikov, Fizikov in Astronomov Slovenije","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18553966"
"2008","1994-540X","Asian J. Algebra","Asian Network for Scientific Information","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=1994540X"
"2008","1994-5418","Asian J. Math. Stat.","Asian Network for Scientific Information","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19945418"
"2008","1793-5571","Asian-Eur. J. Math.","World Scientific Publishing Co. Pte. Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=17935571"
"2008","1937-1632","Discrete Contin. Dyn. Syst. Ser. S","American Institute of Mathematical Sciences (AIMS)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19371632"
"2008","2035-6803","Dolomites Res. Notes Approx.","Padova University Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20356803"
"2008","2070-5948","Electron. J. Appl. Stat. Anal.","Universita del Salento, Coordinamento SIBA","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20705948"
"2008","1307-5543","Eur. J. Pure Appl. Math.","European Journal of Pure and Applied Mathematics","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=13075543"
"2008","1307-5624","Int. Electron. J. Geom.","International Electronic Journal of Geometry","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=13075624"
"2008","1753-0563","Int. J. Appl. Cryptogr.","Inderscience Enterprises Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=17530563"
"2008","1793-5245","Int. J. Biomath.","World Scientific Publishing Co. Pte. Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=17935245"
"2008","1756-378X","Int. J. Intell. Comput. Cybern.","Emerald Group Publishing Limited","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=1756378X"
"2008","0974-5718","Int. J. Math. Comput.","Centre for Environment, Social & Economic Research (CESER Publications)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=09745718"
"2008","0973-8355","Int. J. Math. Model. Simul. Appl.","I.K. International Publishing House Pvt. Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=09738355"
"2008","2074-2827","Int. J. Open Probl. Complex Anal.","International Center for Scientific Research and Studies (ICSRS)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20742827"
"2008","1998-6262","Int. J. Open Probl. Comput. Sci. Math.","International Center for Scientific Research and Studies (ICSRS)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19986262"
"2008","1944-4176","Involve","Mathematical Sciences Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19444176"
"2008","2065-3506","J. Adv. Math. Stud.","Fair Partners Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20653506"
"2008","1972-5787","J. Formaliz. Reason.","University of Bologna, CIB Centro Inter-Bibliotecario","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19725787"
"2008","1865-2433","J. K-Theory","Cambridge University Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18652433"
"2008","0974-5750","J. Math. Sci. Adv. Appl.","Scientific Advances Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=09745750"
"2008","2008-1898","J. Nonlinear Sci. Appl.","International Scientific Research Publications","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20081898"
"2008","1753-8416","J. Topol.","London Mathematical Society","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=17538416"
"2008","2075-7905","Jordan J. Math. Stat.","Yarmouk University","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20757905"
"2008","1937-5093","Kinet. Relat. Models","American Institute of Mathematical Sciences (AIMS)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19375093"
"2008","1867-5778","Munster J. Math.","Universitat Munster, Mathematisches Institut","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18675778"
"2008","1972-7356","Mat. Soc. Cult. Riv. Unione Mat. Ital. (I)","Unione Matematica Italiana","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19727356"
"2008","2102-5754","MathS in Action","Societe de Mathematiques Appliquees et Industrielles","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21025754"
"2008","1995-4239","Numer. Anal. Appl.","Pleiades Publishing, Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19954239"
"2008","1874-4443","Open Autom. Control Syst. J.","Bentham Science Publishers, Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18744443"
"2008","1874-1177","Open Math. J.","Bentham Science Publishers, Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18741177"
"2008","1876-8253","Open Signal Process. J.","Bentham Science Publishers, Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18768253"
"2008","1941-3963","Pac. J. Appl. Math.","Nova Science Publishers, Inc.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=19413963"
"2008","1875-3892","Phys. Procedia","Elsevier B. V.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18753892"
"2008","2071-0410","Prikl. Diskretn. Mat.","Izdatelstvo Tomskogo Universiteta","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20710410"
"2008","0974-3235","ProbStat Forum","ProbStat Forum","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=09743235"
"2008","1736-6046","Proc. Est. Acad. Sci.","Estonian Academy Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=17366046"
"2008","2072-9812","Proc. Int. Geom. Cent.","Odeska Natsionalna Akademiya Kharchovikh Tekhnologii","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20729812"
